887	121	3	13.07
4932	3966	3	68.15
125	811	3	13.32
16	2	4	7.83
235	211	4	17.4
3074	109	4	32.07
522	146	10	67.24
12	227	13	5.96
102	1422	3	8.54
215	391	3	16.42
1128	9	7	42.43
108	855	5	23.65
1627	12	3	6.91
165	131	6	7.2
3399	2298	4	78.47
273	154	3	7.81
490	550	5	51.24
1926	14	4	10.86
109	214	6	8.26
105	535	4	8.81
151	815	3	16.21
950	105	3	8.88
150	1226	3	18.99
117	508	4	13.67
663	12	5	6.68
127	217	6	13.57
109	1590	3	15.85
1248	2338	7	128.59
162	160	6	12.21
176	1300	4	33.33
289	161	3	9.24
1229	155	4	29
138	399	4	15.25
12	1561	6	23.06
563	2741	3	41.05
801	101	4	5.1
113	581	4	14.69
159	144	6	8.58
319	104	10	23.51
373	5261	3	46.99
115	3591	3	24.03
274	114	17	73.91
1051	161	3	19.65
446	111	5	15.95
397	152	4	16.86
1337	120	4	23.99
101	5323	3	19.89
145	228	4	9.16
158	2356	3	25.73
1039	675	5	63.38
986	1456	3	39.83
150	252	3	6.59
438	138	4	16.18
366	152	4	15.85
120	569	7	35.11
478	173	5	30.22
114	115	13	3.88
182	14	101	232.27
144	1728	3	21.41
137	427	4	15.78
501	1303	3	34.27
311	131	8	32.92
383	113	4	10.18
1298	739	4	52.46
1725	476	3	35.87
12	439	29	111.35
457	114	5	17.43
3970	101	4	26.52
137	987	4	24.41
444	116	4	12.16
108	171	8	7.34
338	458	17	192.74
108	302	4	6.43
119	331	4	9.05
301	2149	4	47.55
295	113	3	4.15
1335	12	3	5.72
200	221	3	10.21
350	310	3	19.02
3141	353	3	38.17
169	319	5	23.38
547	117	4	14.47
252	172	5	20.28
213	210	4	15.99
158	497	3	13.58
1304	12	3	5.72
188	788	3	20.16
108	3730	3	22.82
836	126	8	53.63
337	183	4	19.22
1962	12	3	8.53
111	387	4	9.28
117	2613	5	43.11
1631	402	13	209.09
951	148	4	25.24
108	1441	3	14.68
103	2971	3	16.24
117	764	3	11.49
163	159	9	24.21
1183	101	8	29.05
143	101	37	8.69
126	386	4	12.55
151	1512	4	30.45
1947	101	3	8.19
1678	114	4	25.77
120	2002	3	19.25
502	530	4	39.01
432	3063	3	40.02
755	14	6	7.72
101	1215	4	8.48
1475	14	3	4.38
355	14	20	31.73
149	689	3	14.79
12	615	6	8.81
119	533	3	9.12
110	1825	6	44.5
276	238	9	62.14
101	452	9	12.72
106	297	4	5.01
103	1180	3	8.75
160	119	8	7.8
1444	14	3	4.02
917	106	10	61.03
1049	113	3	13.62
151	163	18	65.27
220	102	12	10.63
1339	102	5	18.99
115	128	19	23.6
171	148	13	42.65
238	101	12	4.42
120	719	15	111.84
101	437	18	47.3
1457	150	4	29.5
125	215	17	68.84
202	111	6	7.26
109	2398	3	19.24
104	232	6	4.07
8	1238	3	13.39
1817	117	4	26.82
118	2485	3	20.36
104	183	12	10.59
506	145	6	33.12
1780	14	4	10
151	158	9	19.52
109	752	3	10.25
1171	12	4	8.92
269	147	4	11.52
133	119	15	17.21
1609	151	3	21.36
8	544	4	12.17
360	117	4	9.85
112	2771	6	55.02
745	115	5	23.81
286	524	5	42.08
158	3015	4	40.77
1540	335	3	31.48
170	440	3	14.22
214	719	5	41.09
303	141	12	63.4
135	2025	3	21.8
122	222	6	11.89
955	101	5	9.99
195	242	3	10.63
169	1373	5	43.19
356	1137	8	98.76
129	112	63	207.77
